"","bias_int.trt","bias_right.trt","coverage_int","coverage_right","power.pvalue","event_rate","event_rate_right","event_rate_int"
"sim1",0.000295958118697195,0.000295958118697195,0.953,0.953,1,0.11269665,0.05800015,0.05812785
"sim2",-0.0743625169770341,0.0756374830229659,0.591,0.535,0.999,0.115912,0.05795425,0.06154585
"sim3",-0.142572394185482,0.157427605814518,0.077,0.066,0.923,0.12059875,0.0580652,0.0663861
"sim4",-0.206592648203982,0.243407351796018,0,0,0.292,0.12582585,0.0579978,0.071945
"sim5",-0.260396759194697,0.339603240805303,0,0,0.312,0.13134125,0.05803455,0.07772925
"sim6",0.0774721317784062,-0.0725278682215938,0.534,0.582,0.998,0.11662915,0.0619677,0.05830365
"sim7",-0.00197307851971979,-0.00197307851971979,0.957,0.957,0.964,0.11992375,0.06193145,0.06183415
"sim8",-0.0731967934399813,0.0768032065600187,0.563,0.513,0.437,0.12402965,0.0618866,0.06624955
"sim9",-0.140718663770597,0.159281336229403,0.058,0.043,0.085,0.131126,0.06189065,0.07374185
"sim10",-0.206829987120839,0.243170012879161,0,0,0.638,0.1339834,0.06188855,0.07677705
"sim11",0.163860821636217,-0.136139178363783,0.028,0.134,0.866,0.120878,0.06638565,0.05833705
"sim12",0.0808815515278087,-0.0691184484721913,0.466,0.595,0.405,0.1237232,0.06650215,0.061303
"sim13",0.00066265538245267,0.00066265538245267,0.949,0.949,0.051,0.12808065,0.06642225,0.0660377
"sim14",-0.0749688421656933,0.0750311578343067,0.53,0.499,0.501,0.1328906,0.06643245,0.0711867
"sim15",-0.142977756712261,0.157022243287739,0.051,0.055,0.945,0.1381874,0.06641565,0.0769012
"sim16",0.256264453992955,-0.193735546007045,0,0.017,0.29,0.12594085,0.07160655,0.0584564
"sim17",0.165870064693699,-0.134129935306301,0.009,0.112,0.089,0.12947075,0.07160385,0.06228405
"sim18",0.0804970576507797,-0.0695029423492202,0.445,0.573,0.555,0.13329725,0.07160545,0.06642205
"sim19",-0.0019317237361678,-0.0019317237361678,0.954,0.954,0.971,0.13671525,0.07155535,0.070222
"sim20",-0.0746657325682585,0.0753342674317415,0.49,0.497,1,0.14326645,0.0715484,0.07730285
"sim21",0.347415799768076,-0.252584200231924,0,0,0.284,0.1315613,0.07747845,0.05853945
"sim22",0.252694874148535,-0.197305125851465,0,0.007,0.711,0.13574625,0.0774848,0.0631103
"sim23",0.163144014705599,-0.136855985294401,0.011,0.105,0.989,0.13882205,0.077472,0.0664993
"sim24",0.0781475047539107,-0.0718524952460892,0.457,0.509,1,0.14368605,0.0774633,0.0718474
"sim25",-0.000658543345530222,-0.000658543345530222,0.952,0.952,1,0.1476863,0.07765015,0.0760795
