"","bias_int.trt","bias_right.trt","coverage_int","coverage_right","power.pvalue","event_rate","event_rate_right","event_rate_int"
"sim1",-0.000997343250961665,-0.000997343250961665,0.944,0.944,1,0.1027152,0.075852,0.02911475
"sim2",-0.108883506837432,0.0411164931625683,0.318,0.836,1,0.10432245,0.0758144,0.0308595
"sim3",-0.210366743487224,0.0896332565127758,0.002,0.46,0.998,0.10671915,0.0759026,0.03333115
"sim4",-0.309702964205602,0.140297035794398,0,0.145,0.945,0.1093699,0.0758579,0.036203
"sim5",-0.398309916944493,0.201690083055507,0,0.023,0.609,0.11219585,0.07591835,0.03919795
"sim6",0.109985067950605,-0.0400149320493952,0.291,0.835,0.991,0.1078688,0.0810073,0.0292479
"sim7",-0.00215866627940004,-0.00215866627940004,0.952,0.952,0.955,0.1094163,0.08094245,0.03101025
"sim8",-0.105990454243162,0.0440095457568384,0.293,0.814,0.707,0.11150805,0.08091485,0.03328805
"sim9",-0.208108896859657,0.0918911031403435,0.002,0.396,0.282,0.11503835,0.0808967,0.03712285
"sim10",-0.306597497112567,0.143402502887433,0,0.126,0.105,0.1165522,0.08088615,0.0387541
"sim11",0.227283968326079,-0.0727160316739205,0.001,0.57,0.43,0.1133869,0.08671545,0.02919345
"sim12",0.112776080656747,-0.0372239193432528,0.233,0.844,0.156,0.11493795,0.08686235,0.03074495
"sim13",0.000828024771166628,0.000828024771166628,0.945,0.945,0.055,0.1169766,0.08673765,0.0331325
"sim14",-0.108424604753608,0.0415753952463923,0.248,0.819,0.181,0.11944475,0.08675065,0.0357947
"sim15",-0.209817485402561,0.0901825145974391,0.001,0.394,0.606,0.1221155,0.08675275,0.03874305
"sim16",0.349162048331421,-0.100837951668579,0,0.329,0.25,0.1200235,0.0934396,0.0292824
"sim17",0.229581801804853,-0.0704181981951466,0,0.571,0.499,0.12175145,0.09337235,0.03126675
"sim18",0.112366223102076,-0.0376337768979238,0.199,0.855,0.801,0.12364895,0.09340355,0.0333363
"sim19",-0.00134355960978416,-0.00134355960978416,0.952,0.952,0.963,0.12540645,0.0933565,0.03536385
"sim20",-0.10644147252649,0.0435585274735104,0.253,0.785,0.998,0.1287036,0.09335655,0.0390248
"sim21",0.468140739684928,-0.131859260315072,0,0.153,0.978,0.1273532,0.10095025,0.0293273
"sim22",0.345143646971677,-0.104856353028323,0,0.281,0.996,0.1294243,0.10095245,0.03164615
"sim23",0.227356973962129,-0.0726430260378707,0,0.529,1,0.13095265,0.100964,0.03336095
"sim24",0.111654840969851,-0.0383451590301495,0.198,0.813,1,0.13336245,0.1009,0.03616255
"sim25",0.000589468766841001,0.000589468766841001,0.947,0.947,1,0.1354729,0.1010716,0.0383658
