"","bias_int.trt","bias_right.trt","coverage_int","coverage_right","power.pvalue","event_rate","event_rate_right","event_rate_int"
"sim1",0.000305501348603742,0.000305501348603742,0.954,0.954,1,0.11269665,0.05800015,0.05812785
"sim2",-0.0747251550047209,0.0752748449952791,0.586,0.54,0.999,0.115912,0.05795425,0.06154585
"sim3",-0.143322063469769,0.156677936530231,0.074,0.066,0.926,0.12059875,0.0580652,0.0663861
"sim4",-0.207776183740999,0.242223816259001,0,0,0.303,0.12582585,0.0579978,0.071945
"sim5",-0.262032670051293,0.337967329948707,0,0,0.304,0.13134125,0.05803455,0.07772925
"sim6",0.0778245532982714,-0.0721754467017286,0.534,0.584,0.998,0.11662915,0.0619677,0.05830365
"sim7",-0.0019851057470397,-0.0019851057470397,0.957,0.957,0.964,0.11992375,0.06193145,0.06183415
"sim8",-0.0735877973949633,0.0764122026050367,0.559,0.517,0.441,0.12402965,0.0618866,0.06624955
"sim9",-0.141566363829654,0.158433636170346,0.056,0.043,0.084,0.131126,0.06189065,0.07374185
"sim10",-0.208084102826733,0.241915897173267,0,0,0.63,0.1339834,0.06188855,0.07677705
"sim11",0.164622841528924,-0.135377158471076,0.026,0.136,0.864,0.120878,0.06638565,0.05833705
"sim12",0.0812795291869726,-0.0687204708130273,0.457,0.603,0.397,0.1237232,0.06650215,0.061303
"sim13",0.000662080824140274,0.000662080824140274,0.948,0.948,0.052,0.12808065,0.06642225,0.0660377
"sim14",-0.0754004386823659,0.0745995613176341,0.523,0.502,0.498,0.1328906,0.06643245,0.0711867
"sim15",-0.143849952024287,0.156150047975713,0.045,0.057,0.943,0.1381874,0.06641565,0.0769012
"sim16",0.257445062038397,-0.192554937961603,0,0.017,0.28,0.12594085,0.07160655,0.0584564
"sim17",0.166696426110827,-0.133303573889173,0.008,0.114,0.091,0.12947075,0.07160385,0.06228405
"sim18",0.080918951175185,-0.069081048824815,0.442,0.575,0.558,0.13329725,0.07160545,0.06642205
"sim19",-0.00192775170040718,-0.00192775170040718,0.954,0.954,0.971,0.13671525,0.07155535,0.070222
"sim20",-0.0751021695361347,0.0748978304638653,0.487,0.501,1,0.14326645,0.0715484,0.07730285
"sim21",0.349040186542041,-0.250959813457959,0,0,0.295,0.1315613,0.07747845,0.05853945
"sim22",0.253978391086662,-0.196021608913338,0,0.008,0.723,0.13574625,0.0774848,0.0631103
"sim23",0.164005726256847,-0.135994273743153,0.011,0.108,0.989,0.13882205,0.077472,0.0664993
"sim24",0.0785937200758886,-0.0714062799241114,0.452,0.513,1,0.14368605,0.0774633,0.0718474
"sim25",-0.000667000416241925,-0.000667000416241925,0.952,0.952,1,0.1476863,0.07765015,0.0760795
