"","bias_int.trt","bias_right.trt","coverage_int","coverage_right","power.pvalue","event_rate","event_rate_right","event_rate_int"
"sim1",-0.000985497425391491,-0.000985497425391491,0.944,0.944,1,0.1027152,0.075852,0.02911475
"sim2",-0.109157434398933,0.0408425656010673,0.314,0.838,1,0.10432245,0.0758144,0.0308595
"sim3",-0.210965114305882,0.0890348856941182,0.002,0.466,0.998,0.10671915,0.0759026,0.03333115
"sim4",-0.310659779265148,0.139340220734852,0,0.145,0.948,0.1093699,0.0758579,0.036203
"sim5",-0.399659252001559,0.200340747998441,0,0.023,0.619,0.11219585,0.07591835,0.03919795
"sim6",0.110257167142586,-0.0397428328574141,0.29,0.839,0.99,0.1078688,0.0810073,0.0292479
"sim7",-0.00216442473857101,-0.00216442473857101,0.952,0.952,0.955,0.1094163,0.08094245,0.03101025
"sim8",-0.106296495974184,0.0437035040258158,0.291,0.816,0.709,0.11150805,0.08091485,0.03328805
"sim9",-0.208778120323052,0.091221879676948,0.002,0.406,0.293,0.11503835,0.0808967,0.03712285
"sim10",-0.307607642383404,0.142392357616596,0,0.13,0.101,0.1165522,0.08088615,0.0387541
"sim11",0.227858930507761,-0.0721410694922386,0.001,0.578,0.422,0.1133869,0.08671545,0.02919345
"sim12",0.113078847773975,-0.0369211522260255,0.23,0.846,0.154,0.11493795,0.08686235,0.03074495
"sim13",0.000824044419573884,0.000824044419573884,0.945,0.945,0.055,0.1169766,0.08673765,0.0331325
"sim14",-0.108759885895124,0.0412401141048763,0.244,0.82,0.18,0.11944475,0.08675065,0.0357947
"sim15",-0.21051077200341,0.0894892279965899,0.001,0.398,0.602,0.1221155,0.08675275,0.03874305
"sim16",0.350026284780234,-0.0999737152197662,0,0.337,0.255,0.1200235,0.0934396,0.0292824
"sim17",0.230195757482844,-0.0698042425171564,0,0.576,0.504,0.12175145,0.09337235,0.03126675
"sim18",0.11268737268452,-0.0373126273154801,0.199,0.857,0.801,0.12364895,0.09340355,0.0333363
"sim19",-0.0013356223905328,-0.0013356223905328,0.952,0.952,0.961,0.12540645,0.0933565,0.03536385
"sim20",-0.106799639415189,0.043200360584811,0.25,0.788,0.998,0.1287036,0.09335655,0.0390248
"sim21",0.469316781341057,-0.130683218658943,0,0.156,0.982,0.1273532,0.10095025,0.0293273
"sim22",0.346080868738392,-0.103919131261607,0,0.289,0.997,0.1294243,0.10095245,0.03164615
"sim23",0.228004113978991,-0.0719958860210087,0,0.534,1,0.13095265,0.100964,0.03336095
"sim24",0.111991530272712,-0.0380084697272885,0.195,0.816,1,0.13336245,0.1009,0.03616255
"sim25",0.000567834270717887,0.000567834270717887,0.946,0.946,1,0.1354729,0.1010716,0.0383658
