"","BiasBint","CoverageBint","BiasBright","CoverageBright","Power"
"sim1",0.00204363572787093,0.948,0.00204363572787093,0.948,1
"sim2",-0.0502560990592101,0.771,0.0997439009407899,0.346,0.997
"sim3",-0.0946658415266077,0.349,0.205334158473392,0.005,0.651
"sim4",-0.135613117862282,0.063,0.314386882137718,0,0.105
"sim5",-0.170949806357004,0.011,0.429050193642996,0,0.814
"sim6",0.0531171840021936,0.759,-0.0968828159978064,0.359,0.999
"sim7",-0.00213719184174077,0.952,-0.00213719184174077,0.952,0.955
"sim8",-0.0493731312110351,0.763,0.100626868788965,0.287,0.237
"sim9",-0.0936610446159887,0.339,0.206338955384011,0.003,0.339
"sim10",-0.138061092227483,0.054,0.311938907772517,0,0.962
"sim11",0.115420440991927,0.208,-0.184579559008073,0.019,0.981
"sim12",0.0563727807781054,0.724,-0.0936272192218946,0.368,0.632
"sim13",0.00176726803460335,0.94,0.00176726803460335,0.94,0.06
"sim14",-0.0515789620687173,0.745,0.0984210379312827,0.281,0.719
"sim15",-0.0966851357090145,0.301,0.203314864290985,0.004,0.996
"sim16",0.180658098667822,0.016,-0.269341901332178,0,0.757
"sim17",0.116242302665683,0.18,-0.183757697334317,0.018,0.191
"sim18",0.0555685703536641,0.699,-0.0944314296463359,0.335,0.301
"sim19",-0.00382730634987204,0.941,-0.00382730634987204,0.941,0.965
"sim20",-0.0516263678392198,0.723,0.0983736321607802,0.25,1
"sim21",0.248337626942578,0,-0.351662373057422,0,0.356
"sim22",0.17827074057566,0.011,-0.27172925942434,0,0.156
"sim23",0.112611507085509,0.176,-0.187388492914491,0.01,0.824
"sim24",0.0534347273119873,0.713,-0.0965652726880127,0.289,1
"sim25",-0.0024055731931205,0.948,-0.0024055731931205,0.948,1
