"","BiasBint","CoverageBint","BiasBright","CoverageBright","Power"
"sim1",0.000305501348603742,0.954,0.000305501348603742,0.954,1
"sim2",-0.0747251550047209,0.586,0.0752748449952791,0.54,0.999
"sim3",-0.143322063469769,0.074,0.156677936530231,0.066,0.926
"sim4",-0.207776183740999,0,0.242223816259001,0,0.303
"sim5",-0.262032670051293,0,0.337967329948707,0,0.304
"sim6",0.0778245532982714,0.534,-0.0721754467017286,0.584,0.998
"sim7",-0.0019851057470397,0.957,-0.0019851057470397,0.957,0.964
"sim8",-0.0735877973949633,0.559,0.0764122026050367,0.517,0.441
"sim9",-0.141566363829654,0.056,0.158433636170346,0.043,0.084
"sim10",-0.208084102826733,0,0.241915897173267,0,0.63
"sim11",0.164622841528924,0.026,-0.135377158471076,0.136,0.864
"sim12",0.0812795291869726,0.457,-0.0687204708130273,0.603,0.397
"sim13",0.000662080824140274,0.948,0.000662080824140274,0.948,0.052
"sim14",-0.0754004386823659,0.523,0.0745995613176341,0.502,0.498
"sim15",-0.143849952024287,0.045,0.156150047975713,0.057,0.943
"sim16",0.257445062038397,0,-0.192554937961603,0.017,0.28
"sim17",0.166696426110827,0.008,-0.133303573889173,0.114,0.091
"sim18",0.080918951175185,0.442,-0.069081048824815,0.575,0.558
"sim19",-0.00192775170040718,0.954,-0.00192775170040718,0.954,0.971
"sim20",-0.0751021695361347,0.487,0.0748978304638653,0.501,1
"sim21",0.349040186542041,0,-0.250959813457959,0,0.295
"sim22",0.253978391086662,0,-0.196021608913338,0.008,0.723
"sim23",0.164005726256847,0.011,-0.135994273743153,0.108,0.989
"sim24",0.0785937200758886,0.452,-0.0714062799241114,0.513,1
"sim25",-0.000667000416241925,0.952,-0.000667000416241925,0.952,1
